START_POSITION,FG_PCT,REB,AST,STL,BLK,PTS
1.0,0.167,6.0,2.0,1.0,0.0,3.0
1.0,0.167,5.0,3.0,1.0,2.0,5.0
2.0,0.75,9.0,1.0,2.0,1.0,20.0
3.0,0.45,3.0,7.0,2.0,0.0,24.0
3.0,0.0,3.0,2.0,0.0,0.0,0.0
4.0,0.167,0.0,3.0,0.0,0.0,2.0
4.0,0.667,9.0,2.0,0.0,1.0,15.0
4.0,0.222,11.0,0.0,0.0,1.0,9.0
4.0,0.5,1.0,1.0,0.0,0.0,6.0
4.0,0.167,0.0,1.0,1.0,0.0,3.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.286,6.0,1.0,0.0,0.0,8.0
1.0,0.533,10.0,5.0,0.0,1.0,17.0
2.0,0.714,13.0,2.0,1.0,0.0,11.0
3.0,0.474,8.0,4.0,1.0,1.0,19.0
3.0,0.222,6.0,14.0,2.0,0.0,11.0
4.0,0.75,2.0,0.0,0.0,2.0,6.0
4.0,0.0,5.0,2.0,1.0,2.0,0.0
4.0,0.5,3.0,1.0,1.0,2.0,14.0
4.0,0.8,6.0,1.0,0.0,0.0,11.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.143,4.0,2.0,1.0,2.0,2.0
1.0,0.571,11.0,1.0,0.0,1.0,15.0
2.0,0.25,4.0,0.0,1.0,1.0,6.0
3.0,0.389,3.0,1.0,1.0,0.0,18.0
3.0,0.471,5.0,4.0,0.0,0.0,20.0
4.0,0.333,4.0,4.0,2.0,1.0,6.0
4.0,0.714,5.0,0.0,0.0,0.0,10.0
4.0,0.429,5.0,1.0,0.0,0.0,7.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,0.5,1.0,1.0,0.0,0.0,5.0
1.0,0.357,6.0,0.0,2.0,0.0,15.0
1.0,0.357,3.0,0.0,2.0,0.0,19.0
2.0,0.4,11.0,2.0,0.0,2.0,7.0
3.0,1.0,4.0,4.0,3.0,1.0,4.0
3.0,0.333,8.0,6.0,2.0,1.0,16.0
4.0,0.571,1.0,2.0,1.0,0.0,11.0
4.0,0.636,5.0,2.0,1.0,0.0,18.0
4.0,0.25,2.0,0.0,2.0,0.0,5.0
4.0,1.0,2.0,0.0,0.0,1.0,2.0
